actorID,Actor
1092,Kim Vithana
1093,Jimmi Harkishin
1094,Sarita Khajuria
1095,Luke Edwards
1096,Timothy Busfield
1097,John Ashton
1098,Jesper Salén
1099,Stellan Skarsgård
1100,Basia Frydman
1101,Julie Walters
1102,Thora Hird
1103,Marco Hofschneider
1104,Rick Johnson
1105,Paolo Villaggio
1106,Isa Danieli
1107,Gigio Morra
1108,Jeremy Davies
1109,Alberta Watson
1110,Elizabeth Newett
1111,Travis Tedford
1112,Bug Hall
1113,Brittany Ashton Holmes
1114,Ken Higelin
1115,Jean Yanne
1116,Florence Darel
1117,Chelsea Field
1118,Carlo Cecchi
1119,Claudio Amendola
1120,Phoebe Cates
1121,Wendy Hughes
1122,Lily Tomlin
1123,Tony Curtis
1124,Susie Bright
1125,Julie Mauduech
1126,Mathieu Kassovitz
1127,Nanni Moretti
1128,Renato Carpentieri
1129,Giovanna Bozzolo
1130,Luisina Brando
1131,Alejandra Podesta
1132,Shelley Long
1133,Gary Cole
1134,Christine Taylor
1135,Scott Weinger
1136,Linda Larkin
1137,Linda Hamilton
1138,Graham Greene
1139,Billy Blanks
1140,Roddy Piper
1141,Richard Norton
1142,Lawrence A. Bonney
1143,Adriana Caselotti
1144,Harry Stockwell
1145,Lucille La Verne
1146,Paige O'Hara
1147,Robby Benson
1148,Jesse Corti
1149,Dickie Jones
1150,Christian Rub
1151,Mel Blanc
1152,Sergey Dreyden
1153,Agnès Soral
1154,Viktor Mikhaylov
1155,William Holden
1156,Ernest Borgnine
1157,Robert Ryan
1158,Gil Bellows
1159,Renée Zellweger
1160,Rory Cochrane
1161,Shih Chang
1162,Mingjun Kao
1163,Pao-Ming Ku
1164,Dizzy Gillespie
1165,Milt Hinton
1166,Marian McPartland
1167,Randy Quaid
1168,Paul Reiser
1169,Louise Smith
1170,Mae Whitman
1171,Tony Todd
1172,Kelly Rowan
1173,William O'Leary
1174,Charles Dance
1175,Clive Owen
1176,William H. Macy
1177,Ralph Waite
1178,Richard Romanus
1179,Joe Flaherty
1180,Bruce Ramsay
1181,Valentina Vargas
1182,Doug Bradley
1183,David Schwimmer
1184,Charlotte Gainsbourg
1185,Anna Paquin
1186,Oliver Milburn
1187,Dearbhla Molloy
1188,Danny Cunningham
1189,Nino Manfredi
1190,Anna Karina
1191,Paolo Turco
1192,Phil Harris
1193,Eva Gabor
1194,Sterling Holloway
1195,Marisa Paredes
1196,Juan Echanove
1197,Carme Elias
1198,Matt LeBlanc
1199,Jayne Brook
1200,Gene Ross
1201,Vittorio Mezzogiorno
1202,Stefan Glowacz
1203,Mathilda May
1204,Marthe Villalonga
1205,Caroline Aaron
1206,Cynda Williams
1207,Paul Calderon
1208,Selim Boughedir
1209,Mustapha Adouani
1210,Rabia Ben Abdallah
1211,Lynn Whitfield
1212,Ron Eldard
1213,Annabeth Gish
1214,Edward Norton
1215,Maurice Dean Wint
1216,Clark Johnson
1217,Amy Irving
1218,Amy Locane
1219,Sheena Easton
1220,Dom DeLuise
1221,Rosana Pastor
1222,Icíar Bollaín
1223,Tim Daly
1224,Caroleen Feeney
1225,Dan Gunther
1226,Armin Mueller-Stahl
1227,Juliet Landau
1228,Michael Beach
1229,Michael Gunther
1230,Craig Chester
1231,Michael Stock
1232,Richard E. Grant
1233,Judi Dench
1234,Theresa Randle
1235,Isaiah Washington
1236,Spike Lee
1237,Thierry Lhermitte
1238,Ludwig Briand
1239,Patrick Timsit
1240,Anica Dobra
1241,Felicitas Grimm-Luck
1242,Martin Umbach
1243,Ulrich Mühe
1244,Iris Berben
1245,Marita Marschall
1246,Erik Goertz
1247,Anton Rattinger
1248,Dieter Wardetzky
1249,Lou Diamond Phillips
1250,Jon Voight
1251,Masatoshi Nagase
1252,Fisher Stevens
1253,Veronica Ferres
1254,Joachim Król
1255,Richy Müller
1256,Eun-jin Pang
1257,Sin-hye Hwang
1258,Chu-Ryun Kim
1259,Peter Ketnath
1260,Nina Hoss
1261,Steffen Schroeder
1262,Pauline Collins
1263,George Tabori
1264,Ulrich Tukur
1265,Leon Schuster
1266,John Matshikiza
1267,Wilson Dunster
1268,Max Cullen
1269,Kris McQuade
1270,Tina Bursill
1271,Alain Delon
1272,Maurice Ronet
1273,Marie Laforêt
1274,Leslie Phillips
1275,Kate Burton
1276,Paul Terry
1277,Joanna Lumley
1278,Mark Wahlberg
